i,j,lat,lon,RH;;;;
6;52;331.304;-118.286;70,55
6;53;331.304;-118.254;70,22
6;54;331.304;-118.221;71,00
6;55;331.304;-118.189;72,23
6;56;331.304;-118.157;73,73
6;57;331.304;-118.124;74,49
6;58;331.304;-118.092;74,03
6;59;331.304;-118.059;74,91
6;60;331.304;-118.027;79,38
6;61;331.304;-117.994;83,38
6;62;331.304;-117.962;79,01
6;63;331.304;-117.929;71,72
6;64;331.304;-117.897;68,26
6;65;331.304;-117.864;65,93
6;66;331.304;-117.832;66,52
6;67;331.304;-117.799;68,02
6;68;331.304;-117.767;70,16
6;69;331.304;-117.735;67,08
6;70;331.304;-117.702;65,10
6;71;331.304;-117,67;63,71
6;72;331.304;-117.637;62,49
6;73;331.304;-117.605;60,90
6;74;331.304;-117.572;59,13
6;75;331.304;-117,54;57,35
6;76;331.304;-117.507;55,46
6;77;331.304;-117.475;53,40
6;78;331.304;-117.442;51,98
6;79;331.304;-117,41;52,68
6;80;331.304;-117.378;50,98
6;81;331.304;-117.345;53,17
6;82;331.304;-117.313;35,78
6;83;331.304;-117,28;28,09
6;84;331.304;-117.248;26,42
6;85;331.304;-117.215;26,32
6;86;331.304;-117.183;26,39
6;87;331.304;-117,15;26,49
6;88;331.304;-117.118;26,31
6;89;331.304;-117.085;24,90
6;90;331.304;-117.053;22,09
6;91;331.304;-117,02;21,42
6;92;331.304;-116.988;21,73
6;93;331.304;-116.956;22,12
6;94;331.304;-116.923;22,70
6;95;331.304;-116.891;23,40
6;96;331.304;-116.858;23,85
6;97;331.304;-116.826;24,25
6;98;331.304;-116.793;24,82
6;99;331.304;-116.761;25,43
7;1;331.576;-119.942;78,25
7;2;331.576;-119.909;76,58
7;3;331.576;-119.877;74,21
7;4;331.576;-119.844;70,87
7;5;331.576;-119.812;68,04
7;6;331.576;-119,78;62,82
7;7;331.576;-119.747;61,79
7;8;331.576;-119.715;62,35
7;9;331.576;-119.682;62,40
7;10;331.576;-119,65;63,05
7;11;331.576;-119.617;60,83
7;12;331.576;-119.585;52,71
7;13;331.576;-119.552;48,61
7;14;331.576;-119,52;53,56
7;15;331.576;-119.487;59,86
7;16;331.576;-119.455;65,00
7;17;331.576;-119.422;63,19
7;18;331.576;-119,39;64,61
7;19;331.576;-119.358;64,76
7;20;331.576;-119.325;65,24
7;21;331.576;-119.293;65,98
7;22;331.576;-119,26;66,56
7;23;331.576;-119.228;66,74
7;24;331.576;-119.195;67,75
7;25;331.576;-119.163;68,23
7;26;331.576;-119,13;69,43
7;27;331.576;-119.098;68,84
7;28;331.576;-119.065;70,74
7;29;331.576;-119.033;74,20
7;30;331.576;-119;78,67
7;31;331.576;-118.968;80,87
7;32;331.576;-118.936;80,14
7;33;331.576;-118.903;81,46
7;34;331.576;-118.871;84,29
7;35;331.576;-118.838;85,55
7;36;331.576;-118.806;85,03
7;37;331.576;-118.773;84,64
7;38;331.576;-118.741;83,36
7;39;331.576;-118.708;81,52
7;40;331.576;-118.676;81,27
7;41;331.576;-118.643;82,46
7;42;331.576;-118.611;82,88
7;43;331.576;-118.579;81,59
7;44;331.576;-118.546;80,77
7;45;331.576;-118.514;79,73
7;46;331.576;-118.481;80,34
7;47;331.576;-118.449;80,88
7;48;331.576;-118.416;78,41
7;49;331.576;-118.384;75,38
7;50;331.576;-118.351;73,79
7;51;331.576;-118.319;71,27
7;52;331.576;-118.286;68,87
7;53;331.576;-118.254;67,96
7;54;331.576;-118.221;68,76
7;55;331.576;-118.189;70,19
7;56;331.576;-118.157;72,43
7;57;331.576;-118.124;73,26
7;58;331.576;-118.092;73,08
7;59;331.576;-118.059;72,39
7;60;331.576;-118.027;72,67
7;61;331.576;-117.994;76,11
7;62;331.576;-117.962;82,39
7;63;331.576;-117.929;82,59
7;64;331.576;-117.897;78,25
7;65;331.576;-117.864;71,99
7;66;331.576;-117.832;67,45
7;67;331.576;-117.799;66,61
7;68;331.576;-117.767;69,59
7;69;331.576;-117.735;67,84
7;70;331.576;-117.702;65,08
7;71;331.576;-117,67;63,21
7;72;331.576;-117.637;61,86
7;73;331.576;-117.605;60,55
7;74;331.576;-117.572;58,99
7;75;331.576;-117,54;57,17
7;76;331.576;-117.507;55,23
7;77;331.576;-117.475;53,03
7;78;331.576;-117.442;52,44
7;79;331.576;-117,41;47,53
7;80;331.576;-117.378;41,82
7;81;331.576;-117.345;35,43
7;82;331.576;-117.313;28,89
7;83;331.576;-117,28;26,93
7;84;331.576;-117.248;26,97
7;85;331.576;-117.215;27,25
7;86;331.576;-117.183;27,50
7;87;331.576;-117,15;27,43
7;88;331.576;-117.118;26,09
7;89;331.576;-117.085;22,34
7;90;331.576;-117.053;21,24
7;91;331.576;-117,02;22,10
7;92;331.576;-116.988;22,50
7;93;331.576;-116.956;22,94
7;94;331.576;-116.923;23,33
7;95;331.576;-116.891;23,96
7;96;331.576;-116.858;24,81
7;97;331.576;-116.826;25,76
7;98;331.576;-116.793;26,60
7;99;331.576;-116.761;27,27
8;1;331.848;-119.942;79,07
8;2;331.848;-119.909;77,29
8;3;331.848;-119.877;74,87
8;4;331.848;-119.844;71,51
8;5;331.848;-119.812;68,35
8;6;331.848;-119,78;63,01
8;7;331.848;-119.747;61,74
8;8;331.848;-119.715;62,07
8;9;331.848;-119.682;61,94
8;10;331.848;-119,65;62,61
8;11;331.848;-119.617;61,83
8;12;331.848;-119.585;54,24
8;13;331.848;-119.552;46,83
8;14;331.848;-119,52;49,82
8;15;331.848;-119.487;55,83
8;16;331.848;-119.455;64,87
8;17;331.848;-119.422;62,72
8;18;331.848;-119,39;64,03
8;19;331.848;-119.358;64,17
8;20;331.848;-119.325;64,40
8;21;331.848;-119.293;64,99
8;22;331.848;-119,26;65,81
8;23;331.848;-119.228;66,01
8;24;331.848;-119.195;66,45
8;25;331.848;-119.163;67,92
8;26;331.848;-119,13;67,77
8;27;331.848;-119.098;68,13
8;28;331.848;-119.065;69,35
8;29;331.848;-119.033;72,50
8;30;331.848;-119;76,82
8;31;331.848;-118.968;80,05
8;32;331.848;-118.936;79,81
8;33;331.848;-118.903;79,75
8;34;331.848;-118.871;82,56
8;35;331.848;-118.838;85,03
8;36;331.848;-118.806;84,97
8;37;331.848;-118.773;83,85
8;38;331.848;-118.741;81,97
8;39;331.848;-118.708;81,58
8;40;331.848;-118.676;82,56
8;41;331.848;-118.643;81,56
8;42;331.848;-118.611;82,72
8;43;331.848;-118.579;82,88
8;44;331.848;-118.546;81,38
8;45;331.848;-118.514;81,73
8;46;331.848;-118.481;81,84
8;47;331.848;-118.449;81,63
8;48;331.848;-118.416;78,88
8;49;331.848;-118.384;75,06
8;50;331.848;-118.351;72,33
8;51;331.848;-118.319;69,21
8;52;331.848;-118.286;67,48
8;53;331.848;-118.254;67,04
8;54;331.848;-118.221;67,35
8;55;331.848;-118.189;68,63
8;56;331.848;-118.157;71,43
8;57;331.848;-118.124;73,46
8;58;331.848;-118.092;73,84
8;59;331.848;-118.059;73,77
8;60;331.848;-118.027;73,56
8;61;331.848;-117.994;72,69
8;62;331.848;-117.962;74,37
8;63;331.848;-117.929;78,75
8;64;331.848;-117.897;83,00
8;65;331.848;-117.864;82,99
8;66;331.848;-117.832;76,11
8;67;331.848;-117.799;68,86
8;68;331.848;-117.767;67,70
8;69;331.848;-117.735;68,62
8;70;331.848;-117.702;66,44
8;71;331.848;-117,67;63,57
8;72;331.848;-117.637;61,49
8;73;331.848;-117.605;60,14
8;74;331.848;-117.572;58,85
8;75;331.848;-117,54;57,21
8;76;331.848;-117.507;55,53
8;77;331.848;-117.475;53,27
8;78;331.848;-117.442;53,24
8;79;331.848;-117,41;43,11
8;80;331.848;-117.378;35,61
8;81;331.848;-117.345;29,96
8;82;331.848;-117.313;27,26
8;83;331.848;-117,28;26,72
8;84;331.848;-117.248;26,69
8;85;331.848;-117.215;27,01
8;86;331.848;-117.183;27,28
8;87;331.848;-117,15;26,54
8;88;331.848;-117.118;23,18
8;89;331.848;-117.085;21,14
8;90;331.848;-117.053;21,66
8;91;331.848;-117,02;22,02
8;92;331.848;-116.988;22,70
8;93;331.848;-116.956;23,42
8;94;331.848;-116.923;24,16
8;95;331.848;-116.891;24,99
8;96;331.848;-116.858;26,00
8;97;331.848;-116.826;27,10
8;98;331.848;-116.793;27,98
8;99;331.848;-116.761;28,64
9;1;332.119;-119.942;79,95
9;2;332.119;-119.909;78,02
9;3;332.119;-119.877;75,52
9;4;332.119;-119.844;72,32
9;5;332.119;-119.812;69,09
9;6;332.119;-119,78;63,33
9;7;332.119;-119.747;61,79
9;8;332.119;-119.715;62,15
9;9;332.119;-119.682;62,08
9;10;332.119;-119,65;62,43
9;11;332.119;-119.617;62,51
9;12;332.119;-119.585;56,29
9;13;332.119;-119.552;46,12
9;14;332.119;-119,52;47,36
9;15;332.119;-119.487;51,37
9;16;332.119;-119.455;64,12
9;17;332.119;-119.422;62,20
9;18;332.119;-119,39;63,20
9;19;332.119;-119.358;63,35
9;20;332.119;-119.325;63,43
9;21;332.119;-119.293;63,78
9;22;332.119;-119,26;64,77
9;23;332.119;-119.228;65,63
9;24;332.119;-119.195;65,87
9;25;332.119;-119.163;66,13
9;26;332.119;-119,13;66,54
9;27;332.119;-119.098;67,06
